Vis,Interdisciplinary visualization: lessons learned at NCSA,10.0000/00000002,http://dl.acm.org/citation.cfm?id=949606&CFID=522724143&CFTOKEN=98665846
Vis,Surface representations of two- and three-dimensional fluid flow topology,10.1109/VISUAL.1990.146359,http://dx.doi.org/10.1109/VISUAL.1990.146359
Vis,FAST: a multi-processed environment for visualization of computational fluid dynamics,10.1109/VISUAL.1990.146360,http://dx.doi.org/10.1109/VISUAL.1990.146360
Vis,The VIS-5D system for easy interactive visualization,10.1109/VISUAL.1990.146361,http://dx.doi.org/10.1109/VISUAL.1990.146361
Vis,A procedural interface for volume rendering,10.1109/VISUAL.1990.146362,http://dx.doi.org/10.1109/VISUAL.1990.146362
Vis,Techniques for the interactive visualization of volumetric data,10.1109/VISUAL.1990.146363,http://dx.doi.org/10.1109/VISUAL.1990.146363
Vis,Displaying voxel-based objects according to their qualitative shape synthesis,10.1109/VISUAL.1990.146364,http://dx.doi.org/10.1109/VISUAL.1990.146364
Vis,Interpreting a 3D object from a rough 2D line drawing,10.1109/VISUAL.1990.146365,http://dx.doi.org/10.1109/VISUAL.1990.146365
Vis,Animation techniques for chain-coded objects,10.1109/VISUAL.1990.146366,http://dx.doi.org/10.1109/VISUAL.1990.146366
Vis,Extracting geometric models through constraint minimization,10.1109/VISUAL.1990.146367,http://dx.doi.org/10.1109/VISUAL.1990.146367
Vis,Wide-band relativistic Doppler effect visualization,10.1109/VISUAL.1990.146368,http://dx.doi.org/10.1109/VISUAL.1990.146368
Vis,Dynamic graphics for network visualization,10.1109/VISUAL.1990.146369,http://dx.doi.org/10.1109/VISUAL.1990.146369
Vis,Techniques for visualizing Fermat's last theorem: a case study,10.1109/VISUAL.1990.146370,http://dx.doi.org/10.1109/VISUAL.1990.146370
Vis,Visualizing computer memory architectures,10.1109/VISUAL.1990.146371,http://dx.doi.org/10.1109/VISUAL.1990.146371
Vis,A methodology for scientific data visualisation: choosing representations based on a natural scene paradigm,10.1109/VISUAL.1990.146372,http://dx.doi.org/10.1109/VISUAL.1990.146372
Vis,Moving iconic objects in scientific visualization,10.1109/VISUAL.1990.146373,http://dx.doi.org/10.1109/VISUAL.1990.146373
Vis,Classifying visual knowledge representations: a foundation for visualization research,10.1109/VISUAL.1990.146374,http://dx.doi.org/10.1109/VISUAL.1990.146374
Vis,A problem-oriented classification of visualization techniques,10.1109/VISUAL.1990.146375,http://dx.doi.org/10.1109/VISUAL.1990.146375
Vis,Visualization and three-dimensional image processing of positron emission tomography (PET) brain images,10.1109/VISUAL.1990.146376,http://dx.doi.org/10.1109/VISUAL.1990.146376
Vis,Applying space subdivision techniques to volume rendering,10.1109/VISUAL.1990.146377,http://dx.doi.org/10.1109/VISUAL.1990.146377
Vis,Volume visualization in cell biology,10.1109/VISUAL.1990.146378,http://dx.doi.org/10.1109/VISUAL.1990.146378
Vis,Hierarchical triangulation using terrain features,10.1109/VISUAL.1990.146379,http://dx.doi.org/10.1109/VISUAL.1990.146379
Vis,Rendering and managing spherical data with sphere quadtrees,10.1109/VISUAL.1990.146380,http://dx.doi.org/10.1109/VISUAL.1990.146380
Vis,Methods for surface interrogation,10.1109/VISUAL.1990.146381,http://dx.doi.org/10.1109/VISUAL.1990.146381
Vis,A three-dimensional/stereoscopic display and model control system for Great Lakes forecasts,10.1109/VISUAL.1990.146382,http://dx.doi.org/10.1109/VISUAL.1990.146382
Vis,"Spline-based color sequences for univariate, bivariate and trivariate mapping",10.1109/VISUAL.1990.146383,http://dx.doi.org/10.1109/VISUAL.1990.146383
Vis,Interactive visualization of quaternion Julia sets,10.1109/VISUAL.1990.146384,http://dx.doi.org/10.1109/VISUAL.1990.146384
Vis,A journey into the fourth dimension,10.1109/VISUAL.1990.146385,http://dx.doi.org/10.1109/VISUAL.1990.146385
Vis,Exploring N-dimensional databases,10.1109/VISUAL.1990.146386,http://dx.doi.org/10.1109/VISUAL.1990.146386
Vis,Shape coding of multidimensional data on a microcomputer display,10.1109/VISUAL.1990.146387,http://dx.doi.org/10.1109/VISUAL.1990.146387
Vis,Visualization of irregular multivariate data,10.1109/VISUAL.1990.146388,http://dx.doi.org/10.1109/VISUAL.1990.146388
Vis,Visualizing a scalar field on an N-dimensional lattice,10.1109/VISUAL.1990.146389,http://dx.doi.org/10.1109/VISUAL.1990.146389
Vis,Ray traced scalar fields with shaded polygonal output,10.1109/VISUAL.1990.146390,http://dx.doi.org/10.1109/VISUAL.1990.146390
Vis,The application of transport theory to visualization of 3D scalar data fields,10.1109/VISUAL.1990.146391,http://dx.doi.org/10.1109/VISUAL.1990.146391
Vis,Visualization of scalar data defined on a structured grid-applications to petroleum research,10.1109/VISUAL.1990.146392,http://dx.doi.org/10.1109/VISUAL.1990.146392
Vis,A numerical method for rendering spherical reflections,10.1109/VISUAL.1990.146393,http://dx.doi.org/10.1109/VISUAL.1990.146393
Vis,Superposing images with shadow casting,10.1109/VISUAL.1990.146394,http://dx.doi.org/10.1109/VISUAL.1990.146394
Vis,Automatic illustration of 3D geometric models: surfaces,10.1109/VISUAL.1990.146395,http://dx.doi.org/10.1109/VISUAL.1990.146395
Vis,Scattered data interpolation tools in a microcomputer visualization environment,10.1109/VISUAL.1990.146396,http://dx.doi.org/10.1109/VISUAL.1990.146396
Vis,Design of an end-user data visualization system,10.1109/VISUAL.1990.146397,http://dx.doi.org/10.1109/VISUAL.1990.146397
Vis,A system for three-dimensional acoustic 'visualization' in a virtual environment workstation,10.1109/VISUAL.1990.146398,http://dx.doi.org/10.1109/VISUAL.1990.146398
Vis,An interpersonal multimedia visualization system,10.1109/VISUAL.1990.146399,http://dx.doi.org/10.1109/VISUAL.1990.146399
Vis,Techniques for visualizing 3-dimensional manifolds,10.1109/VISUAL.1990.146400,http://dx.doi.org/10.1109/VISUAL.1990.146400
Vis,Accurate display of tensor product isosurfaces,10.1109/VISUAL.1990.146401,http://dx.doi.org/10.1109/VISUAL.1990.146401
Vis,Parallel coordinates: a tool for visualizing multi-dimensional geometry,10.1109/VISUAL.1990.146402,http://dx.doi.org/10.1109/VISUAL.1990.146402
Vis,Visualization of free form volumes,10.1109/VISUAL.1990.146403,http://dx.doi.org/10.1109/VISUAL.1990.146403
Vis,Visualization for nonlinear engineering FEM analysis in manufacturing,10.1109/VISUAL.1990.146412,http://dx.doi.org/10.1109/VISUAL.1990.146412
Vis,Volume microscopy of biological specimens based on non-confocal imaging techniques,10.1109/VISUAL.1990.146413,http://dx.doi.org/10.1109/VISUAL.1990.146413
Vis,Visualization for the information age,10.1109/VISUAL.1990.146414,http://dx.doi.org/10.1109/VISUAL.1990.146414
Vis,Case study in scientific visualization: factors inducing periodic breathing in humans with blunted hypoxic sensitivity,10.1109/VISUAL.1990.146415,http://dx.doi.org/10.1109/VISUAL.1990.146415
Vis,Interactive investigation of fluid mechanics data sets,10.1109/VISUAL.1990.146416,http://dx.doi.org/10.1109/VISUAL.1990.146416
Vis,Real-world applications of visualization solutions,10.1109/VISUAL.1990.146417,http://dx.doi.org/10.1109/VISUAL.1990.146417
Vis,Personal visualization system: applications in research and engineering,10.1109/VISUAL.1990.146418,http://dx.doi.org/10.1109/VISUAL.1990.146418
Vis,A graphical interface for robotic remediation of underground storage tanks,10.1109/VISUAL.1990.146419,http://dx.doi.org/10.1109/VISUAL.1990.146419
Vis,Scientific visualization from inside the metacomputer,10.1109/VISUAL.1991.175767,http://dx.doi.org/10.1109/VISUAL.1991.175767
Vis,Visualizing causal effects in 4D space-time vector fields,10.1109/VISUAL.1991.175770,http://dx.doi.org/10.1109/VISUAL.1991.175770
